sep=;
ACCELEROMETER X (m/sÂ²);ACCELEROMETER Y (m/sÂ²);ACCELEROMETER Z (m/sÂ²);GRAVITY X (m/sÂ²);GRAVITY Y (m/sÂ²);GRAVITY Z (m/sÂ²);LINEAR ACCELERATION X (m/sÂ²);LINEAR ACCELERATION Y (m/sÂ²);LINEAR ACCELERATION Z (m/sÂ²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (Î¼T);MAGNETIC FIELD Y (Î¼T);MAGNETIC FIELD Z (Î¼T);ORIENTATION Z (azimuth Â°);ORIENTATION X (pitch Â°);ORIENTATION Y (roll Â°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (Â°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.5625;-10.0459;-3.3423;0.5673;-9.3761;-2.8291;1.355;0.5089;0.3593;0.2625;0.47;0.1321;0.001;-12.53;29.84;15.81;236.56;70.16;-170.38;0.0;999.7;56.627;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;18006;2018-03-09 12:03:58:698
-0.6184;-9.081;-3.3067;-0.2732;-9.1288;-3.5814;0.2563;-0.2145;-0.3992;-0.1577;0.177;0.2813;0.001;-11.92;31.07;16.72;244.32;69.7;-178.28;0.0;999.84;50.546;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;18507;2018-03-09 12:03:59:199
-1.6146;-9.3799;-2.7401;-0.7062;-8.9663;-3.917;0.0504;-2.286;-1.2303;-0.3008;0.0512;-0.0983;0.001;-12.72;36.97;14.29;280.47;66.06;169.78;0.0;999.91;49.455;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;19006;2018-03-09 12:03:59:698
1.6087;-10.2013;1.8903;-0.4237;-9.7382;1.1063;-1.1882;0.0187;0.9778;0.7802;1.1925;0.4268;0.001;-9.09;40.16;-3.28;61.04;83.06;20.95;0.0;999.7;52.306;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;19507;2018-03-09 12:04:00:199
1.319;-9.8667;-0.4565;0.7966;-9.4947;-2.3352;1.939;-2.2153;-3.964;-1.7126;0.3332;-1.6441;0.001;-16.67;46.05;4.95;276.61;75.43;-161.16;0.0;999.52;50.311;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;20006;2018-03-09 12:04:00:698
0.8717;-8.1997;3.5745;2.2857;-9.3936;-1.6652;-2.7737;6.3249;-2.4175;-0.6221;2.4689;0.7011;0.001;-18.15;45.37;0.41;217.14;72.59;-119.56;0.0;999.79;54.847;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;20506;2018-03-09 12:04:01:198
-1.9632;-9.9014;0.3214;1.2275;-9.715;-0.5902;2.7449;1.202;-0.8735;-0.3111;0.8006;0.0632;0.001;-11.46;45.19;0.02;228.97;81.99;-105.14;0.0;999.77;52.152;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;21009;2018-03-09 12:04:01:701
-0.6744;-9.8739;-2.9426;-1.5017;-9.5521;-1.6546;0.6584;-1.715;-0.269;0.2874;0.2322;0.4841;0.001;-0.33;43.57;-0.23;340.0;79.43;153.96;0.0;999.82;49.733;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;21506;2018-03-09 12:04:02:198
-0.7261;-10.1846;0.1485;-1.0815;-9.7487;0.1732;-0.4047;0.3509;-0.1395;0.1069;0.2634;-0.0179;0.001;0.29;43.42;-2.93;30.91;83.17;87.97;0.0;999.74;52.564;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;22007;2018-03-09 12:04:02:699
-0.9665;-9.7902;0.2061;-0.8672;-9.7706;0.1379;-4.0E-4;-0.0229;-0.0297;0.034;0.0681;-0.0515;0.001;1.88;41.87;-3.5;63.46;84.86;80.97;0.0;999.71;58.083;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;22506;2018-03-09 12:04:03:198
-0.8811;-9.9716;0.6805;-0.5702;-9.7871;0.3507;0.3672;-0.2754;-0.1017;0.0536;0.0512;-0.0685;0.001;0.58;42.68;-1.82;45.93;85.86;66.76;0.0;999.73;50.865;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;23006;2018-03-09 12:04:03:698
-0.0069;-9.8763;0.5206;0.0692;-9.8097;0.0366;-0.0959;0.15;-0.4288;-0.1964;0.5383;-0.1659;0.001;0.76;40.26;-1.46;61.99;86.95;36.89;0.0;999.72;47.531;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;23507;2018-03-09 12:04:04:199
0.3663;-9.7043;-1.0399;-0.5902;-9.5389;-2.2129;-1.6908;0.2782;1.4725;-0.6904;-1.3512;-0.0127;0.001;-1.57;40.82;3.41;339.55;76.5;165.07;0.0;999.69;54.66;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;24006;2018-03-09 12:04:04:698
0.4004;-9.2049;-1.8994;1.0965;-9.0678;-3.5788;1.8995;-0.5042;-1.2841;0.2289;-2.4015;-0.7995;0.001;-8.97;38.99;14.0;269.36;67.89;-164.4;0.0;999.78;58.041;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;24507;2018-03-09 12:04:05:199
0.3112;-11.05;2.0446;-0.0933;-9.8011;0.4075;0.5834;1.5114;-0.4679;1.2312;1.6427;1.0659;0.001;0.16;33.06;11.01;122.63;80.01;-149.32;0.0;999.69;58.91;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;25006;2018-03-09 12:04:05:698
-3.8523;-16.5614;0.8637;1.7984;-6.1994;-7.3871;0.6437;0.2567;-8.5876;-4.0261;-2.078;-2.3574;0.001;2.89;24.07;25.6;313.35;78.87;52.9;0.0;999.55;53.824;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;25506;2018-03-09 12:04:06:198
